year,reporter_code,reporter_name,partner_code,partner_name,hs_code,commodity_name,trade_value_usd,net_weight_kg,flow_type
2018,842,USA,643,Russian Federation,1001,Wheat and meslin,751468939.8,3100911.61,Import
2018,842,USA,276,Germany,1001,Wheat and meslin,758252661.81,2037016.08,Export
2019,842,USA,276,Germany,1001,Wheat and meslin,1167486852.15,1851485.25,Import
2019,842,USA,842,USA,1001,Wheat and meslin,815607524.68,3752040.96,Export
2020,842,USA,0,World,1001,Wheat and meslin,723415959.46,2738510.83,Import
2020,842,USA,643,Russian Federation,1001,Wheat and meslin,953979472.8,1791418.63,Export
2021,842,USA,0,World,1001,Wheat and meslin,788029749.4,1191518.96,Import
2021,842,USA,276,Germany,1001,Wheat and meslin,1040674856.14,429193.9,Export
2022,842,USA,156,China,1001,Wheat and meslin,724939945.29,1251367.79,Import
2022,842,USA,842,USA,1001,Wheat and meslin,1219238817.96,1864220.52,Export
2023,842,USA,276,Germany,1001,Wheat and meslin,1228260801.85,5666601.2,Import
2023,842,USA,842,USA,1001,Wheat and meslin,872701946.87,4360104.82,Export
2024,842,USA,643,Russian Federation,1001,Wheat and meslin,1267207809.67,5254594.47,Import
2024,842,USA,804,Ukraine,1001,Wheat and meslin,890476683.96,3769502.57,Export
2018,276,Germany,842,USA,1001,Wheat and meslin,422516921.62,1774497.46,Import
2018,276,Germany,156,China,1001,Wheat and meslin,491827071.1,979432.69,Export
2019,276,Germany,392,Japan,1001,Wheat and meslin,684052563.48,1125839.15,Import
2019,276,Germany,156,China,1001,Wheat and meslin,576385311.6,589757.78,Export
2020,276,Germany,643,Russian Federation,1001,Wheat and meslin,504488241.26,2150172.22,Import
2020,276,Germany,643,Russian Federation,1001,Wheat and meslin,545267189.54,2575998.45,Export
2021,276,Germany,156,China,1001,Wheat and meslin,848713813.04,2160437.93,Import
2021,276,Germany,804,Ukraine,1001,Wheat and meslin,747350797.65,2480551.51,Export
2022,276,Germany,276,Germany,1001,Wheat and meslin,363610412.73,160658.89,Import
2022,276,Germany,804,Ukraine,1001,Wheat and meslin,693494519.83,2678577.84,Export
2023,276,Germany,643,Russian Federation,1001,Wheat and meslin,495482881.89,1545652.83,Import
2023,276,Germany,643,Russian Federation,1001,Wheat and meslin,664211585.97,1960693.85,Export
2024,276,Germany,276,Germany,1001,Wheat and meslin,615727811.07,2241905.99,Import
2024,276,Germany,643,Russian Federation,1001,Wheat and meslin,877954407.97,3619967.86,Export
2018,392,Japan,392,Japan,1001,Wheat and meslin,698056097.42,2657355.38,Import
2018,392,Japan,156,China,1001,Wheat and meslin,689420640.84,3387646.57,Export
2019,392,Japan,392,Japan,1001,Wheat and meslin,732571807.09,3218132.7,Import
2019,392,Japan,276,Germany,1001,Wheat and meslin,931083204.63,381678.37,Export
2020,392,Japan,392,Japan,1001,Wheat and meslin,489470286.34,2042219.57,Import
2020,392,Japan,0,World,1001,Wheat and meslin,470688224.77,92364.12,Export
2021,392,Japan,842,USA,1001,Wheat and meslin,756805662.57,1696942.26,Import
2021,392,Japan,276,Germany,1001,Wheat and meslin,685967056.88,2004997.29,Export
2022,392,Japan,842,USA,1001,Wheat and meslin,434422407.78,914075.68,Import
2022,392,Japan,392,Japan,1001,Wheat and meslin,896568229.69,1595504.61,Export
2023,392,Japan,392,Japan,1001,Wheat and meslin,695167951.75,1382968.92,Import
2023,392,Japan,0,World,1001,Wheat and meslin,1020001232.69,3215454.43,Export
2024,392,Japan,276,Germany,1001,Wheat and meslin,768537095.47,1255087.06,Import
2024,392,Japan,643,Russian Federation,1001,Wheat and meslin,871656066.86,1096040.97,Export
2018,156,China,276,Germany,1001,Wheat and meslin,874818796.36,4373042.09,Import
