sku_id,category,supplier_country,lead_time_days,unit_cost_usd,holding_cost_pct,stockout_cost_usd,reorder_quantity,disruption_sensitivity
SKU-0001,Electronics,Germany,15,120.2,0.0217,552.74,320,Medium
SKU-0002,Electronics,South Korea,32,59.26,0.0491,266.51,145,Medium
SKU-0003,Electronics,China,39,286.14,0.033,822.28,325,High
SKU-0004,Electronics,China,35,181.47,0.031,611.23,403,High
SKU-0005,Electronics,China,70,70.9,0.0382,178.07,79,High
SKU-0006,Electronics,Thailand,41,484.53,0.0443,1411.84,93,High
SKU-0007,Electronics,South Korea,22,272.83,0.021,1289.93,166,Medium
SKU-0008,Electronics,South Korea,28,190.27,0.0356,692.61,133,Medium
SKU-0009,Electronics,Brazil,37,464.84,0.0227,1202.98,70,Medium
SKU-0010,Electronics,China,53,224.9,0.0281,1008.95,210,High
SKU-0011,Electronics,China,33,410.99,0.0222,2038.78,397,High
SKU-0012,Electronics,China,46,52.48,0.0445,216.25,378,High
SKU-0013,Electronics,India,37,102.14,0.0459,395.27,198,High
SKU-0014,Electronics,China,38,189.94,0.0298,795.62,336,High
SKU-0015,Electronics,Vietnam,31,370.96,0.0428,1366.55,396,High
SKU-0016,Electronics,Germany,20,285.23,0.0328,592.21,98,Medium
SKU-0017,Electronics,China,30,278.86,0.0472,766.27,234,High
SKU-0018,Electronics,India,52,152.96,0.0223,438.88,122,High
SKU-0019,Electronics,Thailand,42,442.16,0.0441,1131.8,451,High
SKU-0020,Electronics,Japan,36,413.35,0.0469,1221.04,99,Medium
SKU-0021,Electronics,China,57,437.33,0.0202,1544.76,237,High
SKU-0022,Electronics,China,42,103.94,0.0301,501.9,195,High
SKU-0023,Electronics,Japan,21,487.3,0.0489,1342.68,273,Medium
SKU-0024,Electronics,China,59,178.18,0.0211,682.2,276,High
SKU-0025,Electronics,China,49,157.8,0.0243,547.31,493,High
SKU-0026,Electronics,China,42,352.46,0.0428,956.19,377,High
SKU-0027,Electronics,Germany,28,291.1,0.0227,1311.67,194,Medium
SKU-0028,Electronics,China,58,68.35,0.0377,275.63,57,High
SKU-0029,Electronics,Japan,32,128.46,0.0407,405.96,471,Medium
SKU-0030,Electronics,China,32,203.48,0.0234,971.43,444,High
SKU-0031,Electronics,China,55,299.84,0.0359,817.23,91,High
SKU-0032,Electronics,Mexico,16,455.19,0.039,1373.35,207,Medium
SKU-0033,Electronics,India,47,87.86,0.0248,412.56,322,High
SKU-0034,Electronics,China,57,95.66,0.0399,192.77,122,High
SKU-0035,Electronics,Japan,35,150.92,0.0414,409.26,196,Medium
SKU-0036,Electronics,India,55,342.33,0.0455,1360.02,305,High
SKU-0037,Electronics,China,31,159.8,0.0492,508.05,451,High
SKU-0038,Electronics,South Korea,24,407.67,0.0351,1520.9,271,Medium
SKU-0039,Electronics,China,35,60.94,0.0394,154.26,473,High
SKU-0040,Electronics,Brazil,44,461.69,0.0311,944.79,467,Medium
SKU-0041,Electronics,Germany,18,223.29,0.0455,658.88,126,Medium
SKU-0042,Electronics,Japan,33,471.27,0.0409,1748.5,93,Medium
SKU-0043,Electronics,Japan,35,383.35,0.0409,1574.59,211,Medium
SKU-0044,Electronics,China,45,414.21,0.0443,1905.87,460,High
SKU-0045,Electronics,Japan,38,342.48,0.0411,1502.59,450,Medium
SKU-0046,Electronics,China,45,219.01,0.0228,817.97,66,High
SKU-0047,Electronics,Germany,12,315.87,0.0209,667.13,420,Medium
SKU-0048,Electronics,Germany,22,107.18,0.0357,461.94,147,Medium
SKU-0049,Electronics,South Korea,46,336.84,0.0418,1659.8,282,Medium
SKU-0050,Electronics,China,63,407.83,0.0281,1352.74,85,High
SKU-0051,Electronics,China,37,127.98,0.0247,352.04,297,High
SKU-0052,Electronics,South Korea,41,347.09,0.0284,1688.45,382,Medium
SKU-0053,Electronics,Japan,18,161.48,0.0307,690.09,56,Medium
SKU-0054,Electronics,China,63,70.7,0.0212,322.84,366,High
SKU-0055,Electronics,Germany,20,263.06,0.0252,868.51,229,Medium
SKU-0056,Electronics,Japan,21,335.79,0.0214,1048.95,331,Medium
SKU-0057,Electronics,Japan,30,123.32,0.0221,484.31,61,Medium
SKU-0058,Electronics,Japan,34,473.1,0.0373,1497.13,339,Medium
SKU-0059,Electronics,Germany,24,223.75,0.0488,1055.22,138,Medium
SKU-0060,Electronics,China,45,95.35,0.0205,217.72,357,High
SKU-0061,Electronics,China,53,60.47,0.0444,172.07,103,High
SKU-0062,Electronics,South Korea,26,333.02,0.0463,1400.42,411,Medium
SKU-0063,Electronics,China,50,413.08,0.0497,1337.49,217,High
SKU-0064,Electronics,India,31,203.36,0.0479,930.42,243,High
SKU-0065,Electronics,India,35,456.15,0.0352,2043.27,194,High
SKU-0066,Electronics,Mexico,15,225.14,0.0203,1061.79,91,Medium
SKU-0067,Electronics,China,64,251.8,0.0288,751.87,352,High
SKU-0068,Electronics,India,52,406.21,0.0437,923.57,272,High
SKU-0069,Electronics,China,24,449.47,0.0305,1056.79,114,High
SKU-0070,Electronics,India,61,328.2,0.023,739.21,365,High
SKU-0071,Electronics,China,50,86.61,0.0225,429.58,218,High
SKU-0072,Electronics,Germany,25,415.76,0.0484,2061.34,389,Medium
SKU-0073,Electronics,Germany,10,457.86,0.0233,1592.38,55,Medium
SKU-0074,Electronics,Germany,28,75.34,0.0236,177.24,342,Medium
SKU-0075,Electronics,India,45,218.69,0.0286,1007.24,150,High
SKU-0076,Electronics,Brazil,35,55.47,0.0491,118.12,451,Medium
SKU-0077,Electronics,Japan,31,285.39,0.0389,1166.46,254,Medium
SKU-0078,Electronics,South Korea,30,312.94,0.047,668.55,176,Medium
SKU-0079,Electronics,Brazil,33,329.06,0.0283,843.83,258,Medium
SKU-0080,Electronics,Germany,25,312.65,0.0223,1539.23,493,Medium
SKU-0081,Auto Parts,South Korea,16,247.86,0.0405,616.64,459,Medium
SKU-0082,Auto Parts,Taiwan,34,285.94,0.0418,1098.08,238,High
SKU-0083,Auto Parts,Thailand,37,246.95,0.0496,605.34,317,High
SKU-0084,Auto Parts,Germany,19,291.58,0.0453,1316.48,260,Medium
SKU-0085,Auto Parts,Germany,20,262.12,0.0444,1310.38,498,Medium
SKU-0086,Auto Parts,Japan,27,235.32,0.0483,1070.46,161,Medium
SKU-0087,Auto Parts,Germany,14,208.08,0.0385,639.74,101,Medium
SKU-0088,Auto Parts,South Korea,33,165.69,0.0432,589.94,433,Medium
SKU-0089,Auto Parts,Japan,35,132.98,0.024,277.44,389,Medium
SKU-0090,Auto Parts,South Korea,31,217.14,0.0264,523.12,56,Medium
SKU-0091,Auto Parts,Germany,12,142.49,0.0471,433.85,281,Medium
SKU-0092,Auto Parts,India,57,131.03,0.0387,601.05,477,High
SKU-0093,Auto Parts,China,44,92.31,0.0338,456.02,271,High
SKU-0094,Auto Parts,China,52,197.35,0.0272,439.61,107,High
SKU-0095,Auto Parts,China,33,116.79,0.0469,399.64,350,High
SKU-0096,Auto Parts,China,49,73.84,0.0212,185.1,175,High
SKU-0097,Auto Parts,China,30,122.0,0.0351,496.68,67,High
SKU-0098,Auto Parts,India,37,195.81,0.0225,904.79,464,High
SKU-0099,Auto Parts,China,53,229.51,0.0255,603.16,216,High
SKU-0100,Auto Parts,Germany,17,193.11,0.0311,654.18,386,Medium
SKU-0101,Auto Parts,China,53,270.66,0.0354,973.39,98,High
SKU-0102,Auto Parts,Germany,16,169.13,0.0273,474.87,219,Medium
SKU-0103,Auto Parts,China,34,111.7,0.0236,521.82,317,High
SKU-0104,Auto Parts,South Korea,25,240.97,0.035,544.78,291,Medium
SKU-0105,Auto Parts,Japan,24,55.72,0.0285,172.13,340,Medium
SKU-0106,Auto Parts,Japan,39,119.71,0.0496,456.97,156,Medium
SKU-0107,Auto Parts,China,40,64.99,0.0256,185.57,128,High
SKU-0108,Auto Parts,Mexico,11,42.47,0.0357,137.23,492,Medium
SKU-0109,Auto Parts,China,48,262.34,0.0445,727.65,126,High
SKU-0110,Auto Parts,South Korea,29,280.23,0.0367,1041.01,175,Medium
SKU-0111,Auto Parts,India,33,139.12,0.0352,379.41,101,High
SKU-0112,Auto Parts,Japan,20,100.82,0.0374,248.33,266,Medium
SKU-0113,Auto Parts,Japan,26,57.64,0.0219,286.46,195,Medium
SKU-0114,Auto Parts,Taiwan,28,91.3,0.0404,390.83,318,High
SKU-0115,Auto Parts,Germany,12,280.27,0.0449,1371.94,105,Medium
SKU-0116,Auto Parts,India,27,282.74,0.0254,621.88,383,High
SKU-0117,Auto Parts,Japan,27,242.67,0.026,604.48,123,Medium
SKU-0118,Auto Parts,Taiwan,32,206.26,0.0357,634.56,444,High
SKU-0119,Auto Parts,Germany,19,125.54,0.0339,364.58,386,Medium
SKU-0120,Auto Parts,Japan,37,85.02,0.047,267.96,294,Medium
SKU-0121,Auto Parts,Mexico,10,283.15,0.0388,850.79,112,Medium
SKU-0122,Auto Parts,India,43,193.62,0.036,906.47,404,High
SKU-0123,Auto Parts,China,34,228.3,0.021,846.92,393,High
SKU-0124,Auto Parts,Vietnam,33,115.78,0.0446,269.99,430,High
SKU-0125,Auto Parts,China,57,61.98,0.0269,258.26,374,High
SKU-0126,Auto Parts,South Korea,26,214.31,0.0363,590.51,205,Medium
SKU-0127,Auto Parts,China,46,132.24,0.0339,640.29,119,High
SKU-0128,Auto Parts,Japan,33,161.65,0.0383,332.08,442,Medium
SKU-0129,Auto Parts,Thailand,54,278.3,0.0412,683.95,309,High
SKU-0130,Auto Parts,Japan,32,138.76,0.0421,666.48,466,Medium
SKU-0131,Auto Parts,Germany,33,131.72,0.0216,395.9,411,Medium
SKU-0132,Auto Parts,China,50,113.38,0.0319,409.55,463,High
SKU-0133,Auto Parts,China,57,146.62,0.0267,492.25,113,High
SKU-0134,Auto Parts,China,36,159.54,0.0326,756.94,213,High
SKU-0135,Auto Parts,Japan,20,289.1,0.0245,937.8,88,Medium
SKU-0136,Auto Parts,Turkey,28,160.61,0.0379,353.54,387,Medium
SKU-0137,Auto Parts,China,43,73.39,0.0211,250.71,304,High
SKU-0138,Auto Parts,China,46,237.15,0.0336,847.38,248,High
SKU-0139,Auto Parts,Germany,15,70.94,0.0459,343.23,217,Medium
SKU-0140,Auto Parts,China,47,200.32,0.0323,415.9,120,High
SKU-0141,Auto Parts,South Korea,29,82.15,0.0269,329.89,58,Medium
SKU-0142,Auto Parts,China,45,243.98,0.0254,965.73,157,High
SKU-0143,Auto Parts,China,53,259.6,0.0449,828.53,350,High
SKU-0144,Auto Parts,China,35,102.08,0.0469,208.14,88,High
SKU-0145,Auto Parts,China,28,269.95,0.0445,816.72,166,High
SKU-0146,Auto Parts,Germany,29,185.28,0.028,717.49,234,Medium
SKU-0147,Auto Parts,Japan,15,285.57,0.0429,691.18,440,Medium
SKU-0148,Auto Parts,Germany,18,270.47,0.044,885.96,60,Medium
SKU-0149,Auto Parts,China,66,92.21,0.0242,415.39,492,High
SKU-0150,Auto Parts,Japan,32,68.07,0.0282,139.9,461,Medium
SKU-0151,Auto Parts,China,28,175.17,0.0395,786.38,142,High
SKU-0152,Auto Parts,China,50,58.33,0.047,269.58,318,High
SKU-0153,Auto Parts,Japan,20,276.04,0.0326,869.36,283,Medium
SKU-0154,Auto Parts,China,50,66.56,0.0421,149.65,321,High
SKU-0155,Auto Parts,China,29,119.59,0.0416,345.78,304,High
SKU-0156,Auto Parts,Germany,17,205.83,0.0481,864.02,146,Medium
SKU-0157,Auto Parts,China,51,34.4,0.0349,130.39,200,High
SKU-0158,Auto Parts,India,21,49.85,0.0223,208.6,272,High
SKU-0159,Auto Parts,South Korea,19,249.35,0.044,1018.37,172,Medium
SKU-0160,Auto Parts,Japan,25,121.07,0.0227,575.32,111,Medium
SKU-0161,Auto Parts,Brazil,21,171.73,0.0462,720.69,412,Medium
SKU-0162,Auto Parts,South Korea,28,213.84,0.0455,587.85,270,Medium
SKU-0163,Auto Parts,China,53,29.5,0.0409,85.32,465,High
SKU-0164,Auto Parts,Brazil,36,284.39,0.0342,1304.25,430,Medium
SKU-0165,Auto Parts,China,30,53.76,0.0223,219.82,202,High
SKU-0166,Auto Parts,India,46,38.3,0.0295,138.59,405,High
SKU-0167,Auto Parts,China,53,192.44,0.027,398.97,441,High
SKU-0168,Auto Parts,China,47,264.92,0.0359,1276.17,409,High
SKU-0169,Auto Parts,Turkey,32,132.54,0.0344,514.59,443,Medium
SKU-0170,Auto Parts,Turkey,20,235.12,0.0325,767.45,381,Medium
SKU-0171,Auto Parts,China,41,100.43,0.0289,271.24,68,High
SKU-0172,Auto Parts,China,36,296.56,0.0328,935.05,355,High
SKU-0173,Auto Parts,China,43,266.15,0.0483,905.5,326,High
SKU-0174,Auto Parts,China,36,297.53,0.027,1436.53,342,High
SKU-0175,Auto Parts,Japan,17,69.43,0.0266,177.69,400,Medium
SKU-0176,Auto Parts,Germany,21,36.2,0.0491,168.38,467,Medium
SKU-0177,Auto Parts,Turkey,22,232.31,0.0409,571.87,417,Medium
SKU-0178,Auto Parts,China,33,82.67,0.0361,312.4,311,High
SKU-0179,Auto Parts,China,41,56.26,0.0467,273.81,437,High
SKU-0180,Auto Parts,Taiwan,36,203.47,0.0365,460.04,233,High
SKU-0181,Food & Beverage,Germany,25,42.19,0.0224,112.25,357,Low
SKU-0182,Food & Beverage,China,35,68.84,0.0349,236.93,316,Medium
SKU-0183,Food & Beverage,Taiwan,42,47.43,0.028,219.88,408,Medium
SKU-0184,Food & Beverage,South Korea,22,68.79,0.046,283.76,426,Low
SKU-0185,Food & Beverage,South Korea,37,61.45,0.0248,285.29,442,Low
SKU-0186,Food & Beverage,China,60,66.94,0.0239,201.18,384,Medium
SKU-0187,Food & Beverage,China,49,43.06,0.0202,123.2,327,Medium
SKU-0188,Food & Beverage,Turkey,27,52.39,0.0278,204.43,292,Low
SKU-0189,Food & Beverage,India,43,45.59,0.0489,137.94,334,Medium
SKU-0190,Food & Beverage,Thailand,34,12.69,0.0481,51.57,80,Medium
SKU-0191,Food & Beverage,China,41,48.66,0.0304,187.96,70,Medium
SKU-0192,Food & Beverage,Vietnam,43,78.01,0.0491,331.46,108,Medium
SKU-0193,Food & Beverage,India,38,62.78,0.0405,209.54,173,Medium
SKU-0194,Food & Beverage,Turkey,12,36.96,0.0335,92.06,407,Low
SKU-0195,Food & Beverage,South Korea,37,25.49,0.0485,62.53,244,Low
SKU-0196,Food & Beverage,Thailand,49,36.48,0.0392,116.47,173,Medium
SKU-0197,Food & Beverage,Turkey,30,22.25,0.0264,46.58,343,Low
SKU-0198,Food & Beverage,Germany,19,69.83,0.0342,342.49,133,Low
SKU-0199,Food & Beverage,Vietnam,49,68.36,0.0428,265.15,109,Medium
SKU-0200,Food & Beverage,China,52,74.06,0.0385,325.09,266,Medium
SKU-0201,Food & Beverage,China,48,37.27,0.026,129.51,78,Medium
SKU-0202,Food & Beverage,Japan,22,25.17,0.0439,73.78,254,Low
SKU-0203,Food & Beverage,China,43,41.0,0.038,117.87,362,Medium
SKU-0204,Food & Beverage,Vietnam,35,63.49,0.0212,218.5,97,Medium
SKU-0205,Food & Beverage,China,69,57.68,0.0368,117.05,196,Medium
SKU-0206,Food & Beverage,Japan,27,11.59,0.0305,24.33,85,Low
SKU-0207,Food & Beverage,Germany,21,56.71,0.044,147.47,125,Low
SKU-0208,Food & Beverage,China,34,52.73,0.0412,110.46,471,Medium
SKU-0209,Food & Beverage,China,63,70.32,0.0414,309.77,202,Medium
SKU-0210,Food & Beverage,Taiwan,34,11.01,0.0468,40.11,417,Medium
SKU-0211,Food & Beverage,Germany,23,59.87,0.0224,130.58,161,Low
SKU-0212,Food & Beverage,China,66,70.38,0.0266,346.8,201,Medium
SKU-0213,Food & Beverage,China,51,42.36,0.0367,176.12,152,Medium
SKU-0214,Food & Beverage,Turkey,31,78.11,0.0395,202.98,356,Low
SKU-0215,Food & Beverage,China,55,59.54,0.0423,195.08,205,Medium
SKU-0216,Food & Beverage,Germany,20,79.07,0.0212,363.81,310,Low
SKU-0217,Food & Beverage,Germany,20,70.51,0.047,230.23,174,Low
SKU-0218,Food & Beverage,Japan,40,73.43,0.0263,284.09,334,Low
SKU-0219,Food & Beverage,India,44,73.18,0.0254,198.51,487,Medium
SKU-0220,Food & Beverage,China,38,69.08,0.0348,189.4,441,Medium
SKU-0221,Food & Beverage,Germany,9,49.47,0.0249,156.98,486,Low
SKU-0222,Food & Beverage,China,47,54.26,0.0298,234.43,108,Medium
SKU-0223,Food & Beverage,Brazil,19,10.51,0.0251,37.41,201,Low
SKU-0224,Food & Beverage,Taiwan,29,37.32,0.0275,143.74,368,Medium
SKU-0225,Food & Beverage,China,53,40.6,0.0453,179.33,313,Medium
SKU-0226,Food & Beverage,Vietnam,54,20.44,0.0234,57.42,75,Medium
SKU-0227,Food & Beverage,Japan,27,75.04,0.0295,264.27,68,Low
SKU-0228,Food & Beverage,China,34,79.0,0.049,159.17,478,Medium
SKU-0229,Food & Beverage,South Korea,29,43.67,0.0347,174.71,112,Low
SKU-0230,Food & Beverage,China,55,28.09,0.0411,73.19,353,Medium
SKU-0231,Food & Beverage,Brazil,37,38.28,0.046,96.9,361,Low
SKU-0232,Food & Beverage,Taiwan,26,75.85,0.0405,264.83,328,Medium
SKU-0233,Food & Beverage,Vietnam,37,74.82,0.0407,301.49,147,Medium
SKU-0234,Food & Beverage,South Korea,30,34.54,0.0395,80.13,346,Low
SKU-0235,Food & Beverage,Turkey,31,63.68,0.037,268.43,445,Low
SKU-0236,Food & Beverage,Germany,19,29.53,0.04,130.63,393,Low
SKU-0237,Food & Beverage,India,55,14.02,0.0363,28.28,196,Medium
SKU-0238,Food & Beverage,Germany,19,34.71,0.0409,109.88,251,Low
SKU-0239,Food & Beverage,China,32,10.49,0.0381,42.01,328,Medium
SKU-0240,Food & Beverage,Germany,17,33.48,0.0459,119.1,265,Low
SKU-0241,Food & Beverage,China,33,34.91,0.0374,125.7,323,Medium
SKU-0242,Food & Beverage,India,21,65.97,0.0415,321.05,58,Medium
SKU-0243,Food & Beverage,China,42,74.53,0.0218,357.99,208,Medium
SKU-0244,Food & Beverage,China,48,41.44,0.0277,118.3,188,Medium
SKU-0245,Food & Beverage,Taiwan,16,50.78,0.0415,143.09,236,Medium
SKU-0246,Food & Beverage,China,48,18.59,0.0404,47.3,286,Medium
SKU-0247,Food & Beverage,South Korea,31,24.24,0.0489,83.64,412,Low
SKU-0248,Food & Beverage,Japan,21,8.26,0.039,40.1,320,Low
SKU-0249,Food & Beverage,Taiwan,29,20.9,0.0383,67.57,427,Medium
SKU-0250,Food & Beverage,Mexico,15,31.51,0.0271,136.8,173,Low
SKU-0251,Food & Beverage,Taiwan,46,12.17,0.0387,40.83,313,Medium
SKU-0252,Food & Beverage,China,36,60.27,0.0459,159.73,93,Medium
SKU-0253,Food & Beverage,China,57,46.0,0.027,145.95,317,Medium
SKU-0254,Food & Beverage,Germany,29,79.08,0.0241,323.08,231,Low
SKU-0255,Food & Beverage,Germany,25,79.34,0.0239,183.46,375,Low
SKU-0256,Food & Beverage,Japan,35,25.56,0.0224,57.69,452,Low
SKU-0257,Food & Beverage,China,33,31.62,0.0221,112.48,80,Medium
SKU-0258,Food & Beverage,Taiwan,26,22.53,0.0362,104.54,342,Medium
SKU-0259,Food & Beverage,Japan,19,55.21,0.0498,220.04,301,Low
SKU-0260,Food & Beverage,India,25,39.89,0.0218,147.07,480,Medium
SKU-0261,Chemicals,China,35,121.09,0.0229,405.79,390,High
SKU-0262,Chemicals,China,51,143.03,0.0439,683.9,155,High
SKU-0263,Chemicals,Germany,21,173.15,0.0356,670.22,90,Medium
SKU-0264,Chemicals,India,49,51.71,0.0448,224.74,368,High
SKU-0265,Chemicals,China,34,91.22,0.0226,438.85,299,High
SKU-0266,Chemicals,China,36,97.49,0.0334,370.64,282,High
SKU-0267,Chemicals,Mexico,15,174.74,0.0263,837.32,102,Medium
SKU-0268,Chemicals,Taiwan,31,94.71,0.0463,436.06,412,High
SKU-0269,Chemicals,India,33,98.51,0.0252,402.4,205,High
